text,level
人生というものには、いろいろな問題があります。しかし、それらのことも過ぎ去ってみると、あのときに迷わないでやってほんとうによかったな、というような場合が多いのです。そこが大事なところだと思います。ある場合には迷うこともあるでしょう。しかし、しょせん迷ってもお互い自分の知恵裁量というものは、ほんとうは小さいものです。だから、「これはもう仕方がない。ここまでできたのだからこれ以上進んで結果がうまくいかなくても、それは運命だ」と度胸を決めてしまう。そうした場合には、案外、困難だと思っていたことがスムーズにいって、むしろ非常によい結果を生む、ということにもなるのではないかと思うのです。,1
1. 筆者がここで最も言いたいことは何か。 うまくいかない場合は一人で迷うより、みんなの知恵を借りたほうがいい。 人生においてしかたないとあきらめることもいい結果をもたらす場合がある。 人生は心の持ちようで以外にうまくいく場合もある。 難しい問題に遭っても迷わず実践することが大事だ。,1
日本人に個性がないということはよく言われていることだけれど、今世界的に、1 週間、或いは年間にどれだけ働くか、ということについて、常識的な申し合わせが行われていることには、私はいつも違和感を覚えている。,1
私は毎年、身体障害者の方たちとイスラエルやイタリアなどに旅をしているが､一昨年はシナイ山に登った。盲人も６人、ボランティアの助力を得て頂上を究めた。普段、数十歩しか歩けない車椅子の人にも、頂上への道を少しでも歩いてもらった。障害者にとっての山頂は、決して現実の山の頂きではない。もし普段100 歩しか歩けない障害者が、頑張ってその日に限り、山道を200 歩歩いて力尽きたら、そここそがその人にとっての光栄ある山頂なのである。,1
人間が週に何時間働くべきか、ということにも、ひとりひとりの適切な時間があると思う。労働時間を一律に決めなければならない、とするのは専門職ではない、未熟練労働に対する基準としてのみ有効である。未熟練労働者の場合は、時間あたりの労働賃金をできるだけ高くし、それによって労働時間を短縮しようとして当然である。,1
しかし、専門職と呼ばれる仕事に従事する人は、労働報酬の時間あたりの金額など、ほとんど問題外だ。私は小説家だが、小説家の仕事も専門職に属するから、ひとつの作品のためにどれだけ時間をかけようと勝手である。短編をほんの2、3 時間で書いてしまうこともあるし、10 年、20 年と資料を集め調べ続けてやっと完成するものもある。ひとつの作品に私がどれだけの時間や労力や調査費をかけようが、昼夜何時間ずつ働こうが、それは私かプロである以上、自由である。,1
日本の社会の中には、職場の同僚がお互いに牽制するので、取ってもいいはずの休みも取れない人が確かにかなりいる。小さな会社の社長に頼みこまれると、したくもない残業をしなければならなくなる社員もいる。そうしないと会社が潰れて失職をすることが目にみえているからである。その結果｢過労死｣などということも稀には起きることになる。,1
しかし日本人のなかには、仕事が趣味という人も実に多い。ブルーカラーと呼ばれている人たちの中にさえ、どうしたら仕事の能率が上がるか考えている人はざらである。趣味になりかけているものが、たまたま会社の仕事だから、時間が来たら帰らねばならない。それはプロの楽しみを妨げることであって、一種の個人の自由の束縛というものである。,1
ただそれほど働きたくない人は仕事をしない自由を完全に守れるように、社会は体制を作り変えるべきである。しかし同時に、一律に休みを取れ、というような社会主義的発想はいくら世界の流行だとはいえ、自由を手にしている人間に対しては個人への干渉であり、非礼である。,1
2. 違和感を覚えているのはなぜか。 世界的に労働時間が決められているから。 適切な労働時間は人によって異なるから。 日本人は時間にきびしいから。 日本人は働きすぎるから。,1
